32 1 8 1 2 1 -5 -5 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 3 -5 -5 -5 -5 1 1 1 1 -4 -4 2 1 7 -4 2 -4 -5 -5 -5 -5 -5 -5 -5 -5 1 4 1 1 4 -5 -5 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
33 -4 4 1 1 5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 1 6 1 1 1 1 3 -4 -4 1 1 3 -4 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 0 7 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
34 1 1 3 1 1 1 1 1 1 3 1 3 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 2 2 -4 -4 1 1 -4 4 -4 2 -4 -4 4 1 4 1 4 1 4 1 1 4 1 4 1 4 1 2 0 2 -4 -4 -4 -4 -4 -4
35 -4 5 3 2 5 -4 5 -4 5 -4 5 -4 7 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 -4 -4 2 1 1 4 -4 -4 -4 4 -4 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
36 1 1 3 1 1 -4 5 1 1 1 1 1 1 1 1 1 1 -5 -5 3 1 3 1 1 1 1 1 1 1 1 1 1 1 -4 -4 5 1 7 -4 5 -4 -4 4 -4 1 1 4 1 4 1 4 1 1 4 1 2 0 2 1 4 1 4 1 4 1 4 1 2
37 1 5 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 -4 4 -4 4 -4 4 -4 -4 -4 7 7 -4 -4 -4 1 -4 -4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
38 -4 5 3 2 5 -4 3 1 1 1 1 1 1 1 3 1 1 1 1 2 1 2 1 2 1 2 1 2 1 2 2 2 1 -4 -4 1 1 1 1 -4 -4 -4 1 -4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
39 1 1 3 1 1 -5 -5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 -4 -4 2 2 1 2 -4 -4 2 -4 -4 1 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
40 1 2 3 1 1 -4 3 -4 7 1 1 1 1 1 7 -4 5 2 1 1 1 2 1 2 1 2 1 -4 8 -4 8 -4 8 1 -4 -4 8 8 1 -4 -4 1 -4 -4 8 1 1 1 1 1 1 1 8 1 1 2 0 2 0 2 1 1 1 1 1 2 0 2
41 -4 2 3 1 5 -4 5 -4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 -4 -4 1 1 -4 -4 2 -5 -5 -5 -5 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
